Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (ORF )
W0TFN1	ATG11_KLUMD	reviewed	Autophagy-related protein 11	ATG11 KLMA_70337	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG11		KLMA_70337
W0TEF9	ATG3_KLUMD	reviewed	Autophagy-related protein 3 (Autophagy-related E2-like conjugation enzyme atg3)	ATG3 KLMA_60454	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG3		KLMA_60454
W0T4V8	ATG5_KLUMD	reviewed	Autophagy-related protein 5	ATG5 KLMA_20199	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG5		KLMA_20199
W0TCD0	ATG2_KLUMD	reviewed	Autophagy-related protein 2	ATG2 KLMA_50633	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG2		KLMA_50633
W0T6B6	ATG14_KLUMD	reviewed	Autophagy-related protein 14	ATG14 KLMA_20709	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG14		KLMA_20709
W0T3R8	ATG17_KLUMD	reviewed	Autophagy-related protein 17	ATG17 KLMA_10625	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG17		KLMA_10625
W0TIW1	ATG9_KLUMD	reviewed	Autophagy-related protein 9	ATG9 KLMA_70236	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG9		KLMA_70236
W0TGM7	ATG4_KLUMD	reviewed	Cysteine protease ATG4 (EC 3.4.22.-) (Autophagy-related protein 4)	ATG4 KLMA_50615	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG4		KLMA_50615
W0TD11	BECN1_KLUMD	reviewed	Vacuolar protein sorting-associated protein 30 (Autophagy-related protein 6)	VPS30 ATG6 KLMA_50047	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	VPS30		KLMA_50047
W0TA05	ATG7_KLUMD	reviewed	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7)	ATG7 KLMA_40433	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG7		KLMA_40433
W0T3G1	ATG31_KLUMD	reviewed	Autophagy-related protein 31	ATG31 KLMA_10525	Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) (Yeast) (Candida kefyr)	ATG31		KLMA_10525
