Entry	Entry name	Status	Protein names	Gene names	Organism	Gene names  (primary )	Gene names  (ordered locus )	Gene names  (ORF )
A3LN13	CHL1_PICST	reviewed	ATP-dependent DNA helicase CHL1 (EC 3.6.4.12) (Chromosome loss protein 1)	CHL1 PICST_54439	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	CHL1		PICST_54439
A3GFE3	ATG18_PICST	reviewed	Autophagy-related protein 18	ATG18 PICST_52962	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ATG18		PICST_52962
A3LXH5	COQ4_PICST	reviewed	Ubiquinone biosynthesis protein COQ4, mitochondrial (Coenzyme Q biosynthesis protein 4)	COQ4 PICST_90569	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	COQ4		PICST_90569
A3LYE4	3DHQ_PICST	reviewed	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase)	DQD1 PICST_62322	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	DQD1		PICST_62322
A3GI31	ATG12_PICST	reviewed	Ubiquitin-like protein ATG12 (Autophagy-related protein 12)	ATG12 PICST_29200	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	ATG12		PICST_29200
A3LXS1	SEC11_PICST	reviewed	Signal sequence processing protein (EC 3.4.21.89) (Signal peptidase I)	SEC11 PICST_36729	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SEC11		PICST_36729
A3LS77	TRMB_PICST	reviewed	tRNA (guanine-N(7)-)-methyltransferase (EC 2.1.1.33) (Transfer RNA methyltransferase 8) (tRNA (guanine(46)-N(7))-methyltransferase) (tRNA(m7G46)-methyltransferase)	TRM8 PICST_56862	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	TRM8		PICST_56862
A3GGT2	YPI2_PICST	reviewed	Type 1 phosphatases regulator YPI2	YPI2 PICST_28729	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	YPI2		PICST_28729
A3LNW3	SEC13_PICST	reviewed	Protein transport protein SEC13	SEC13 PICST_76043	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SEC13		PICST_76043
A3LST5	SUB2_PICST	reviewed	ATP-dependent RNA helicase SUB2 (EC 3.6.4.13)	SUB2 PICST_83587	Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) (Yeast) (Pichia stipitis)	SUB2		PICST_83587
