UniprotID	GOterm	GOname	GeneName	GeneShort
A3LN13	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	PICST_54439	CHL1
A3LN13	GO:0006139	nucleobase-containing compound metabolic process	PICST_54439	CHL1
A3LN13	GO:0003676	nucleic acid binding	PICST_54439	CHL1
A3LN13	GO:0003678	DNA helicase activity	PICST_54439	CHL1
A3LN13	GO:0036297	interstrand cross-link repair	PICST_54439	CHL1
A3LN13	GO:0034085	establishment of sister chromatid cohesion	PICST_54439	CHL1
A3LN13	GO:0007064	mitotic sister chromatid cohesion	PICST_54439	CHL1
A3LN13	GO:0004386	helicase activity	PICST_54439	CHL1
A3LN13	GO:0000790	nuclear chromatin	PICST_54439	CHL1
A3LN13	GO:0003677	DNA binding	PICST_54439	CHL1
A3LN13	GO:0005634	nucleus	PICST_54439	CHL1
A3LN13	GO:0005524	ATP binding	PICST_54439	CHL1
A3LXH5	GO:0006744	ubiquinone biosynthetic process	PICST_90569	COQ4
A3LXH5	GO:0031314	extrinsic component of mitochondrial inner membrane	PICST_90569	COQ4
A3LXH5	GO:0005743	mitochondrial inner membrane	PICST_90569	COQ4
A3GI31	GO:0034274	Atg12-Atg5-Atg16 complex	PICST_29200	ATG12
A3GI31	GO:0006501	C-terminal protein lipidation	PICST_29200	ATG12
A3GI31	GO:0031386	protein tag	PICST_29200	ATG12
A3GI31	GO:0034045	phagophore assembly site membrane	PICST_29200	ATG12
A3GI31	GO:0044805	late nucleophagy	PICST_29200	ATG12
A3GI31	GO:0000422	autophagy of mitochondrion	PICST_29200	ATG12
A3GI31	GO:0008047	enzyme activator activity	PICST_29200	ATG12
A3GI31	GO:0015031	protein transport	PICST_29200	ATG12
A3GI31	GO:0032258	cytoplasm to vacuole transport by the Cvt pathway	PICST_29200	ATG12
A3GI31	GO:0034727	piecemeal microautophagy of the nucleus	PICST_29200	ATG12
A3GI31	GO:0000045	autophagosome assembly	PICST_29200	ATG12
A3GI31	GO:0000407	phagophore assembly site	PICST_29200	ATG12
A3GI31	GO:0005737	cytoplasm	PICST_29200	ATG12
A3LXS1	GO:0005787	signal peptidase complex	PICST_36729	SEC11
A3LXS1	GO:0006465	signal peptide processing	PICST_36729	SEC11
A3LXS1	GO:0008236	serine-type peptidase activity	PICST_36729	SEC11
A3LXS1	GO:0045047	protein targeting to ER	PICST_36729	SEC11
A3LXS1	GO:0004252	serine-type endopeptidase activity	PICST_36729	SEC11
A3LXS1	GO:0008233	peptidase activity	PICST_36729	SEC11
A3LXS1	GO:0005783	endoplasmic reticulum	PICST_36729	SEC11
A3LXS1	GO:0016020	membrane	PICST_36729	SEC11
A3LXS1	GO:0016021	integral component of membrane	PICST_36729	SEC11
A3LS77	GO:0008176	tRNA (guanine-N7-)-methyltransferase activity	PICST_56862	TRM8
A3LS77	GO:0043527	tRNA methyltransferase complex	PICST_56862	TRM8
A3LS77	GO:0030488	tRNA methylation	PICST_56862	TRM8
A3LS77	GO:0000049	tRNA binding	PICST_56862	TRM8
A3LS77	GO:0005654	nucleoplasm	PICST_56862	TRM8
A3LS77	GO:0006400	tRNA modification	PICST_56862	TRM8
A3LNW3	GO:0035859	Seh1-associated complex	PICST_76043	SEC13
A3LNW3	GO:1904263	positive regulation of TORC1 signaling	PICST_76043	SEC13
A3LNW3	GO:0090114	COPII-coated vesicle budding	PICST_76043	SEC13
A3LNW3	GO:0030127	COPII vesicle coat	PICST_76043	SEC13
A3LNW3	GO:0005198	structural molecule activity	PICST_76043	SEC13
A3LNW3	GO:0000139	Golgi membrane	PICST_76043	SEC13
A3LNW3	GO:0015031	protein transport	PICST_76043	SEC13
A3LNW3	GO:0045893	positive regulation of transcription, DNA-templated	PICST_76043	SEC13
A3LNW3	GO:0031081	nuclear pore distribution	PICST_76043	SEC13
A3LNW3	GO:0031080	nuclear pore outer ring	PICST_76043	SEC13
A3LNW3	GO:0005774	vacuolar membrane	PICST_76043	SEC13
A3LNW3	GO:0016192	vesicle-mediated transport	PICST_76043	SEC13
A3LNW3	GO:0030433	ubiquitin-dependent ERAD pathway	PICST_76043	SEC13
A3LNW3	GO:0043547	positive regulation of GTPase activity	PICST_76043	SEC13
A3LNW3	GO:0051028	mRNA transport	PICST_76043	SEC13
A3LNW3	GO:0005789	endoplasmic reticulum membrane	PICST_76043	SEC13
A3LNW3	GO:0005515	protein binding	PICST_76043	SEC13
A3LST5	GO:0000346	transcription export complex	PICST_83587	SUB2
A3LST5	GO:0006283	transcription-coupled nucleotide-excision repair	PICST_83587	SUB2
A3LST5	GO:0005681	spliceosomal complex	PICST_83587	SUB2
A3LST5	GO:0003676	nucleic acid binding	PICST_83587	SUB2
A3LST5	GO:0010501	RNA secondary structure unwinding	PICST_83587	SUB2
A3LST5	GO:0031124	mRNA 3'-end processing	PICST_83587	SUB2
A3LST5	GO:0006368	transcription elongation from RNA polymerase II promoter	PICST_83587	SUB2
A3LST5	GO:0000398	mRNA splicing, via spliceosome	PICST_83587	SUB2
A3LST5	GO:0000781	chromosome, telomeric region	PICST_83587	SUB2
A3LST5	GO:0006406	mRNA export from nucleus	PICST_83587	SUB2
A3LST5	GO:0006348	chromatin silencing at telomere	PICST_83587	SUB2
A3LST5	GO:0003723	RNA binding	PICST_83587	SUB2
A3LST5	GO:0005730	nucleolus	PICST_83587	SUB2
A3LST5	GO:0005524	ATP binding	PICST_83587	SUB2
A3LPX1	GO:0010673	positive regulation of transcription from RNA polymerase II promoter involved in meiotic cell cycle	PICST_54418	SSN8
A3LPX1	GO:0045737	positive regulation of cyclin-dependent protein serine/threonine kinase activity	PICST_54418	SSN8
A3LPX1	GO:1901409	positive regulation of phosphorylation of RNA polymerase II C-terminal domain	PICST_54418	SSN8
A3LPX1	GO:0000979	RNA polymerase II core promoter sequence-specific DNA binding	PICST_54418	SSN8
A3LPX1	GO:0000411	positive regulation of transcription by galactose	PICST_54418	SSN8
A3LPX1	GO:0000307	cyclin-dependent protein kinase holoenzyme complex	PICST_54418	SSN8
A3LPX1	GO:0006357	regulation of transcription by RNA polymerase II	PICST_54418	SSN8
A3LPX1	GO:0016592	mediator complex	PICST_54418	SSN8
A3LPX1	GO:0016538	cyclin-dependent protein serine/threonine kinase regulator activity	PICST_54418	SSN8
A3LPX1	GO:0000122	negative regulation of transcription by RNA polymerase II	PICST_54418	SSN8
A3LPX1	GO:0045944	positive regulation of transcription by RNA polymerase II	PICST_54418	SSN8
A3LPX1	GO:0006351	transcription, DNA-templated	PICST_54418	SSN8
A3LPX1	GO:0042025	host cell nucleus	PICST_54418	SSN8
A3LXS6	GO:0106050	tRNA 2'-O-methyltransferase activity	PICST_32922	TRM13
A3LXS6	GO:0052666	tRNA (cytosine-2'-O-)-methyltransferase activity	PICST_32922	TRM13
A3LXS6	GO:0030488	tRNA methylation	PICST_32922	TRM13
A3LXS6	GO:0008033	tRNA processing	PICST_32922	TRM13
A3LXS6	GO:0008168	methyltransferase activity	PICST_32922	TRM13
A3LXS6	GO:0005634	nucleus	PICST_32922	TRM13
A3LXS6	GO:0005737	cytoplasm	PICST_32922	TRM13
A3LXS6	GO:0046872	metal ion binding	PICST_32922	TRM13
A3LMX9	GO:0071816	tail-anchored membrane protein insertion into ER membrane	PICST_29392	GET1
A3LMX9	GO:0043529	GET complex	PICST_29392	GET1
A3LMX9	GO:0045048	protein insertion into ER membrane	PICST_29392	GET1
A3LMX9	GO:0006890	retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum	PICST_29392	GET1
A3LMX9	GO:0000139	Golgi membrane	PICST_29392	GET1
A3LMX9	GO:0043495	protein-membrane adaptor activity	PICST_29392	GET1
A3LMX9	GO:0005789	endoplasmic reticulum membrane	PICST_29392	GET1
A3LMX9	GO:0016021	integral component of membrane	PICST_29392	GET1
Q9C1D4	GO:0004424	imidazoleglycerol-phosphate dehydratase activity		HIS3
Q9C1D4	GO:0000105	histidine biosynthetic process		HIS3
A3LNK7	GO:0032220	plasma membrane fusion involved in cytogamy	PICST_54949	PRM1
A3LNK7	GO:0043332	mating projection tip	PICST_54949	PRM1
A3LNK7	GO:0005886	plasma membrane	PICST_54949	PRM1
A3LNK7	GO:0016021	integral component of membrane	PICST_54949	PRM1
A3LYS9	GO:0046686	response to cadmium ion	PICST_85387	
A3LYS9	GO:0046040	IMP metabolic process	PICST_85387	
A3LYS9	GO:0004019	adenylosuccinate synthase activity	PICST_85387	
A3LYS9	GO:0006164	purine nucleotide biosynthetic process	PICST_85387	
A3LYS9	GO:0044208	'de novo' AMP biosynthetic process	PICST_85387	
A3LYS9	GO:0005525	GTP binding	PICST_85387	
A3LYS9	GO:0003688	DNA replication origin binding	PICST_85387	
A3LYS9	GO:0005737	cytoplasm	PICST_85387	
A3LYS9	GO:0046872	metal ion binding	PICST_85387	
A3LQG3	GO:0005737	cytoplasm	PICST_54383	RTC5
