"UniprotID"	"GOterm"	"GOname"	"GeneName"	"GeneShort"
"P10505"	"GO:0031145"	"anaphase-promoting complex-dependent catabolic process"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0005680"	"anaphase-promoting complex"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0034399"	"nuclear periphery"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0016567"	"protein ubiquitination"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0051301"	"cell division"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0007049"	"cell cycle"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0005737"	"cytoplasm"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"P10505"	"GO:0005515"	"protein binding"	"SPAC17C9.01c SPAC1851.01"	"nuc2"
"O94751"	"GO:0034508"	"centromere complex assembly"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0000780"	"condensed nuclear chromosome, centromeric region"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0051754"	"meiotic sister chromatid cohesion, centromeric"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0004672"	"protein kinase activity"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0000776"	"kinetochore"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0034501"	"protein localization to kinetochore"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0007094"	"mitotic spindle assembly checkpoint"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0000778"	"condensed nuclear chromosome kinetochore"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0006468"	"protein phosphorylation"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0004674"	"protein serine/threonine kinase activity"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0042802"	"identical protein binding"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0031134"	"sister chromatid biorientation"	"SPCC1322.12c"	"bub1"
"O94751"	"GO:0016236"	"macroautophagy"	"SPCC1322.12c"	"bub1"
