"UniprotID"	"GOterm"	"GOname"	"GeneName"	"GeneShort"
"Q02864"	"GO:0005634"	"nucleus"	"YPL071C"	""
"Q02864"	"GO:0005737"	"cytoplasm"	"YPL071C"	""
"Q03048"	"GO:0015629"	"actin cytoskeleton"	"YLL050C"	"COF1"
"Q03048"	"GO:0051014"	"actin filament severing"	"YLL050C"	"COF1"
"Q03048"	"GO:0030042"	"actin filament depolymerization"	"YLL050C"	"COF1"
"Q03048"	"GO:0003779"	"actin binding"	"YLL050C"	"COF1"
"Q03048"	"GO:0051015"	"actin filament binding"	"YLL050C"	"COF1"
"Q03048"	"GO:0030479"	"actin cortical patch"	"YLL050C"	"COF1"
"Q03048"	"GO:0016363"	"nuclear matrix"	"YLL050C"	"COF1"
"Q03048"	"GO:0006897"	"endocytosis"	"YLL050C"	"COF1"
"Q03048"	"GO:0043001"	"Golgi to plasma membrane protein transport"	"YLL050C"	"COF1"
"Q03048"	"GO:0007015"	"actin filament organization"	"YLL050C"	"COF1"
"Q03213"	"GO:0071475"	"cellular hyperosmotic salinity response"	"YMR172W"	"HOT1"
"Q03213"	"GO:0061393"	"obsolete positive regulation of transcription from RNA polymerase II promoter in response to osmotic stress"	"YMR172W"	"HOT1"
"Q03213"	"GO:0051123"	"RNA polymerase II preinitiation complex assembly"	"YMR172W"	"HOT1"
"Q03213"	"GO:0060963"	"positive regulation of ribosomal protein gene transcription by RNA polymerase II"	"YMR172W"	"HOT1"
"Q03213"	"GO:0072363"	"obsolete regulation of glycolytic process by positive regulation of transcription from RNA polymerase II promoter"	"YMR172W"	"HOT1"
"Q03213"	"GO:0000981"	"DNA-binding transcription factor activity, RNA polymerase II-specific"	"YMR172W"	"HOT1"
"Q03213"	"GO:0045944"	"positive regulation of transcription by RNA polymerase II"	"YMR172W"	"HOT1"
"Q03213"	"GO:0000978"	"RNA polymerase II cis-regulatory region sequence-specific DNA binding"	"YMR172W"	"HOT1"
"Q03213"	"GO:0005634"	"nucleus"	"YMR172W"	"HOT1"
"P32836"	"GO:0006997"	"nucleus organization"	"YOR185C"	"GSP2"
"P32836"	"GO:0000054"	"ribosomal subunit export from nucleus"	"YOR185C"	"GSP2"
"P32836"	"GO:0003924"	"GTPase activity"	"YOR185C"	"GSP2"
"P32836"	"GO:0005525"	"GTP binding"	"YOR185C"	"GSP2"
"P32836"	"GO:0005634"	"nucleus"	"YOR185C"	"GSP2"
"P32836"	"GO:0006606"	"protein import into nucleus"	"YOR185C"	"GSP2"
"P32836"	"GO:0006913"	"nucleocytoplasmic transport"	"YOR185C"	"GSP2"
"P32836"	"GO:0005737"	"cytoplasm"	"YOR185C"	"GSP2"
"Q07834"	"GO:0003676"	"nucleic acid binding"	"YLL032C"	""
"Q07834"	"GO:0003723"	"RNA binding"	"YLL032C"	""
"Q07834"	"GO:0005737"	"cytoplasm"	"YLL032C"	""
"P32622"	"GO:0042736"	"NADH kinase activity"	"YEL041W"	"YEF1"
"P32622"	"GO:0019674"	"NAD metabolic process"	"YEL041W"	"YEF1"
"P32622"	"GO:0006741"	"NADP biosynthetic process"	"YEL041W"	"YEF1"
"P32622"	"GO:0003951"	"NAD+ kinase activity"	"YEL041W"	"YEF1"
"P32622"	"GO:0005524"	"ATP binding"	"YEL041W"	"YEF1"
"P35843"	"GO:0008289"	"lipid binding"	"YOR237W"	"HES1"
"P35843"	"GO:0015918"	"sterol transport"	"YOR237W"	"HES1"
"P35843"	"GO:0008142"	"oxysterol binding"	"YOR237W"	"HES1"
"P35843"	"GO:0015248"	"sterol transporter activity"	"YOR237W"	"HES1"
"P35843"	"GO:0030011"	"maintenance of cell polarity"	"YOR237W"	"HES1"
"P35843"	"GO:0016126"	"sterol biosynthetic process"	"YOR237W"	"HES1"
"P35843"	"GO:0006897"	"endocytosis"	"YOR237W"	"HES1"
"P35843"	"GO:0006887"	"exocytosis"	"YOR237W"	"HES1"
"P35843"	"GO:0034727"	"piecemeal microautophagy of the nucleus"	"YOR237W"	"HES1"
"Q04371"	"GO:0016791"	"phosphatase activity"	"YMR027W"	""
"Q04371"	"GO:0008168"	"methyltransferase activity"	"YMR027W"	""
"Q04371"	"GO:0051998"	"protein carboxyl O-methyltransferase activity"	"YMR027W"	""
"P14904"	"GO:0006518"	"peptide metabolic process"	"YKL103C"	"APE1"
"P14904"	"GO:0070006"	"metalloaminopeptidase activity"	"YKL103C"	"APE1"
"P14904"	"GO:0007039"	"protein catabolic process in the vacuole"	"YKL103C"	"APE1"
"P14904"	"GO:0004177"	"aminopeptidase activity"	"YKL103C"	"APE1"
"P14904"	"GO:0000324"	"fungal-type vacuole"	"YKL103C"	"APE1"
"P14904"	"GO:0006508"	"proteolysis"	"YKL103C"	"APE1"
"P14904"	"GO:0015031"	"protein transport"	"YKL103C"	"APE1"
"P14904"	"GO:0042802"	"identical protein binding"	"YKL103C"	"APE1"
"P14904"	"GO:0008270"	"zinc ion binding"	"YKL103C"	"APE1"
"P14904"	"GO:0005576"	"extracellular region"	"YKL103C"	"APE1"
"Q08219"	"GO:0005619"	"ascospore wall"	"YOL048C"	"RRT8"
"Q08219"	"GO:0030476"	"ascospore wall assembly"	"YOL048C"	"RRT8"
"Q08219"	"GO:0005811"	"lipid droplet"	"YOL048C"	"RRT8"
"Q08219"	"GO:0005628"	"prospore membrane"	"YOL048C"	"RRT8"
"Q08219"	"GO:0016021"	"integral component of membrane"	"YOL048C"	"RRT8"
"P40571"	"GO:0004526"	"ribonuclease P activity"	"YIR015W"	"RPR2"
"P40571"	"GO:0005655"	"nucleolar ribonuclease P complex"	"YIR015W"	"RPR2"
"P40571"	"GO:0008033"	"tRNA processing"	"YIR015W"	"RPR2"
"P40571"	"GO:0034965"	"intronic box C/D snoRNA processing"	"YIR015W"	"RPR2"
