"UniprotID"	"GOterm"	"GOname"	"GeneName"	"GeneShort"
"W0TFN1"	"GO:0061723"	"glycophagy"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:2000786"	"positive regulation of autophagosome assembly"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0001934"	"positive regulation of protein phosphorylation"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0061709"	"reticulophagy"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0034045"	"phagophore assembly site membrane"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0000422"	"autophagy of mitochondrion"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:1990316"	"Atg1/ULK1 kinase complex"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0019901"	"protein kinase binding"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0015031"	"protein transport"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0000149"	"SNARE binding"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0005774"	"vacuolar membrane"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0019898"	"extrinsic component of membrane"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0032258"	"cytoplasm to vacuole transport by the Cvt pathway"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0034727"	"piecemeal microautophagy of the nucleus"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0030242"	"autophagy of peroxisome"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0034497"	"protein localization to phagophore assembly site"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0000045"	"autophagosome assembly"	"KLMA_70337"	"ATG11"
"W0TFN1"	"GO:0000407"	"phagophore assembly site"	"KLMA_70337"	"ATG11"
"W0TEF9"	"GO:0019776"	"Atg8 ligase activity"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0000153"	"cytoplasmic ubiquitin ligase complex"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0006501"	"C-terminal protein lipidation"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0061908"	"phagophore"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0006612"	"protein targeting to membrane"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0044805"	"late nucleophagy"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0000422"	"autophagy of mitochondrion"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0032258"	"cytoplasm to vacuole transport by the Cvt pathway"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0034727"	"piecemeal microautophagy of the nucleus"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0000045"	"autophagosome assembly"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0000407"	"phagophore assembly site"	"KLMA_60454"	"ATG3"
"W0TEF9"	"GO:0005829"	"cytosol"	"KLMA_60454"	"ATG3"
"W0T4V8"	"GO:0034274"	"Atg12-Atg5-Atg16 complex"	"KLMA_20199"	"ATG5"
"W0T4V8"	"GO:0006501"	"C-terminal protein lipidation"	"KLMA_20199"	"ATG5"
"W0T4V8"	"GO:0061908"	"phagophore"	"KLMA_20199"	"ATG5"
"W0T4V8"	"GO:0120095"	"vacuole-isolation membrane contact site"	"KLMA_20199"	"ATG5"
