Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
A0A1L7LMC3	ATP synthase subunit 9, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_90012 PE=3 SV=1		KLMA_90012	6.64091904139238e-06	6.87893841551322e-06	6.23597554809201e-06
A0A1L7LMG8	GTP-binding protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_40632 PE=4 SV=1		KLMA_40632	4.64385242903831e-05	4.90643042043613e-05	4.57771348332316e-05
W0T257	Saccharolysin OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PRD1 PE=3 SV=1	PRD1	KLMA_10025	6.32256336985869e-05	6.47883350514715e-05	6.0595302872508e-05
W0T261	CMAS OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10030 PE=4 SV=1		KLMA_10030	4.04110988985164e-05	4.20095094598811e-05	4.04596572478354e-05
W0T264	5',5'''-P-1,P-4-tetraphosphate phosphorylase 2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=APA2 PE=4 SV=1	APA2	KLMA_10035	2.85883552638881e-05	2.86940194712209e-05	2.86590105584105e-05
W0T280	GRASP65 homolog protein 1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GRH1 PE=4 SV=1	GRH1	KLMA_10050	1.11577083245736e-05	1.16452131878711e-05	1.1123346950107e-05
W0T285	Ribonuclease H-like domain OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10055 PE=4 SV=1		KLMA_10055	3.43266481867366e-06	3.46164342244739e-06	3.48934591852857e-06
W0T289	Peptide-methionine (R)-S-oxide reductase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MXR2 PE=3 SV=1	MXR2	KLMA_10060	9.84728807782665e-06	9.42736879476152e-06	9.46767088540998e-06
W0T294	Histidine biosynthesis trifunctional protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=HIS4 PE=3 SV=1	HIS4	KLMA_10065	0.000104047743902129	0.000104192763130438	9.97546690815997e-05
W0T2A3	Putative multicopper oxidase YDR506C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GMC1 PE=3 SV=1	GMC1	KLMA_10075	2.6571590949008e-06	2.75005076923744e-06	3.11603188441031e-06
W0T2A8	Vacuolar protein sorting-associated protein VTA1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=VTA1 PE=4 SV=1	VTA1	KLMA_10080	4.74826740852949e-07	4.56952382111248e-07	4.52076289958943e-07
W0T2B3	Uncharacterized protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=EMG1 PE=4 SV=1	EMG1	KLMA_10085	7.17006084575083e-06	7.77111578751726e-06	7.22202227505546e-06
W0T2B8	Homoserine O-acetyltransferase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MET2 PE=3 SV=1	MET2	KLMA_10090	0.000177435748605115	0.000188735286830019	0.000190901532499453
W0T2D8	Vacuolar protein sorting-associated protein IST1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=IST1 PE=4 SV=1	IST1	KLMA_10110	4.31564431969503e-06	4.23933966936633e-06	4.17338212455914e-06
W0T2E3	Pre-mRNA-splicing factor CWC23 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=CWC23 PE=4 SV=1	CWC23	KLMA_10115	2.53982782394619e-06	2.75498245203253e-06	2.36670629189346e-06
W0T2E8	Uncharacterized ORAOV1 family protein YNL260C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10120 PE=4 SV=1		KLMA_10120	1.59745272949379e-06	1.79360425416277e-06	1.54595272976696e-06
W0T2F2	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=COQ6 PE=3 SV=1	COQ6	KLMA_10125	2.73857977989125e-05	2.78277570236039e-05	2.69751529591939e-05
W0T2F8	54S ribosomal protein L17 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MRPL17 PE=4 SV=1	MRPL17	KLMA_10130	2.79805574472812e-05	3.0191122984122e-05	2.82122393532535e-05
W0T2G2	Diphthamide biosynthesis protein 4 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10135 PE=4 SV=1		KLMA_10135	4.22645625088077e-07	3.14577283336776e-07	3.25820674638647e-07
W0T2G6	Eukaryotic translation initiation factor eIF-1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SUI1 PE=4 SV=1	SUI1	KLMA_10140	2.12663054451779e-05	2.3075163585227e-05	2.06903802598088e-05
W0T2H3	Putative transcriptional regulatory protein YJL206C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10145 PE=4 SV=1		KLMA_10145	6.32362346379423e-06	6.78331799853476e-06	6.2968563556732e-06
W0T2H8	Pre-mRNA-splicing factor sap114 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10150 PE=4 SV=1		KLMA_10150	1.99390342719334e-06	1.99783782727563e-06	1.814135383683e-06
W0T2I1	Inorganic phosphate transporter PHO87 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PHO87 PE=4 SV=1	PHO87	KLMA_10155	3.073641511809e-05	3.22742265863562e-05	3.07399000011104e-05
W0T2I4	Probable DNA-binding protein SNT1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SNT1 PE=4 SV=1	SNT1	KLMA_10160	9.49708802564588e-07	1.07723126025543e-06	1.08915901001858e-06
W0T2K3	ATP-dependent DNA helicase HMI1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=HMI1 PE=4 SV=1	HMI1	KLMA_10165	9.12526511942603e-07	1.00940738921228e-06	9.04976418115474e-07
W0T2L1	AP-2 complex subunit mu OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=APM4 PE=3 SV=1	APM4	KLMA_10175	1.40897626961024e-05	1.49891306005735e-05	1.3641716249704e-05
W0T2L4	Uncharacterized protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=LRE1 PE=4 SV=1	LRE1	KLMA_10033	4.49026337237748e-06	4.82908303145502e-06	4.89993472667035e-06
W0T2L5	Argininosuccinate synthase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ARG1 PE=3 SV=1	ARG1	KLMA_10180	0.000607940959471792	0.0006609835943586	0.000611645916925817
W0T2L7	Oxysterol-binding protein homolog 1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=OSH2 PE=3 SV=1	OSH2	KLMA_10185	2.00855392255183e-05	2.16819653778672e-05	1.98715304313142e-05
W0T2L9	RNA polymerase II-associated protein RBA50 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RBA50 PE=4 SV=1	RBA50	KLMA_10038	9.19460258046303e-06	9.863249858294e-06	9.4325752039101e-06
W0T2M1	Bud site selection protein 14 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=BUD14 PE=4 SV=1	BUD14	KLMA_10190	9.81910232463753e-06	9.90242883411758e-06	1.11152068639739e-05
W0T2M7	Mitochondrial inner membrane i-AAA protease complex subunit MGR1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MGR1 PE=4 SV=1	MGR1	KLMA_10048	9.9127794285205e-06	1.12827068878902e-05	1.00663069185008e-05
W0T2N7	Endoribonuclease YSH1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=YSH1 PE=4 SV=1	YSH1	KLMA_10210	1.626192743093e-06	1.69443753973806e-06	1.82466983615759e-06
W0T2N8	Glutaredoxin-1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GRX2 PE=4 SV=1	GRX2	KLMA_10058	0.000132673268584847	0.00014124288481096	0.000142559686584095
W0T2P1	Protein N-terminal and lysine N-methyltransferase EFM7 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=NNT1 PE=3 SV=1	NNT1	KLMA_10215	1.99866166023359e-05	2.12872894271929e-05	1.99224910760044e-05
W0T2P3	Ribosomal RNA-processing protein 7 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RRP7 PE=4 SV=1	RRP7	KLMA_10063	6.07709160754389e-06	6.12359817153398e-06	5.85089880422276e-06
W0T2P5	Phosphoserine aminotransferase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SER1 PE=3 SV=1	SER1	KLMA_10220	6.00669515704742e-05	6.35194252711476e-05	5.82248055934879e-05
W0T2P8	GTP-binding nuclear protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GSP1 PE=3 SV=1	GSP1	KLMA_10225 KLMA_50134	0.000411403976724579	0.000459697877887554	0.000409356543447242
W0T2Q5	Serine/threonine-protein kinase GIN4 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GIN4 PE=4 SV=1	GIN4	KLMA_10073	3.78859844597815e-05	4.10061191776167e-05	4.15953596766607e-05
W0T2Q8	WW domain-containing protein YFL010C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10235 PE=4 SV=1		KLMA_10235	2.31898596938784e-06	2.50024295670577e-06	2.2722055994039e-06
W0T2R0	Lipid phosphate phosphatase 1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=LPP1 PE=4 SV=1	LPP1	KLMA_10078	1.59910941529011e-06	1.83656288829735e-06	1.69442737950812e-06
W0T2R2	ER-derived vesicles protein ERV14 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ERV14 PE=4 SV=1	ERV14	KLMA_10240	0.000176054553351944	0.000197525709372092	0.000177683317019227
W0T2R5	Ribosomal_L37e super family OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RpL37a PE=4 SV=1	RpL37a	KLMA_10083	0.000115710157568496	0.000157323587521201	0.000146615931185536
W0T2R7	Protein SDS23 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SDS23 PE=3 SV=1	SDS23	KLMA_10245	6.54639563975529e-05	7.06798712095458e-05	6.4256899677959e-05
W0T2S0	PH-like super family protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SKG3 PE=4 SV=1	SKG3	KLMA_10088	1.29585504393593e-05	1.34579644520183e-05	1.26620082822247e-05
W0T2S1	YAP1-binding protein 1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=YBP1 PE=4 SV=1	YBP1	KLMA_10250	2.23867742111261e-05	2.30347456875567e-05	2.19396668450559e-05
W0T2S5	Probable kinetochore protein SPC25 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SPC25 PE=4 SV=1	SPC25	KLMA_10093	1.70646015101547e-06	1.51708519643036e-06	1.60979298044954e-06
W0T2S9	Lysophospholipase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PLB PE=3 SV=1	PLB	KLMA_10260	5.89147313519862e-05	5.7308543033987e-05	5.51786751948853e-05
W0T2T1	Transcription initiation factor TFIID subunit 2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TAF2 PE=4 SV=1	TAF2	KLMA_10098	2.37983663662957e-05	2.42464962947689e-05	2.26801173311682e-05
W0T2T3	Mitochondrial distribution and morphology protein 12 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MDM12 PE=3 SV=1	MDM12	KLMA_10265	5.47049711401398e-07	5.79668335825403e-07	5.12052219221461e-07
W0T2T7	Serine/threonine-protein kinase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=CDC5 PE=3 SV=1	CDC5	KLMA_10270	6.17888855799547e-06	6.38188104963562e-06	6.03000204762226e-06
W0T2T8	Rab guanine nucleotide exchange factor SEC2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SEC2 PE=4 SV=1	SEC2	KLMA_10103	2.46601989515882e-05	2.48279002481231e-05	2.38665333115695e-05
W0T2U2	RNA exonuclease NGL2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=NGL2 PE=4 SV=1	NGL2	KLMA_10275	1.07412969972368e-06	1.08883656614135e-06	1.09688353536121e-06
W0T2U3	Phosphatidylinositol 4-kinase PIK1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PIK1 PE=3 SV=1	PIK1	KLMA_10108	2.22254469654322e-05	2.28242325365468e-05	2.29444128100751e-05
W0T2U5	GTP-binding protein GTR1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GTR1 PE=4 SV=1	GTR1	KLMA_10280	7.39626195660467e-06	7.95424894351221e-06	7.16015869173752e-06
W0T2U8	Uncharacterized membrane protein YGL140C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10113 PE=4 SV=1		KLMA_10113	2.82220827890696e-05	2.76426316825614e-05	2.73910774335069e-05
W0T2V1	Sensitive to high expression protein 9, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SHE9 PE=3 SV=1	SHE9	KLMA_10285	7.70038936019812e-06	7.60087936600531e-06	7.20205954660394e-06
W0T2V2	Origin recognition complex subunit 5 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ORC5 PE=4 SV=1	ORC5	KLMA_10118	3.49073284758587e-06	3.33789282290394e-06	3.33548968981105e-06
W0T2V6	IBN_N super family OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SXM1 PE=4 SV=1	SXM1	KLMA_10290	9.39851833133459e-05	9.99607862357331e-05	9.62704261103649e-05
W0T2V8	Protein SIP3 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=SIP3 PE=4 SV=1	SIP3	KLMA_10123	8.06484419054987e-06	8.15418503534608e-06	7.69356933949573e-06
W0T2W5	DNA-directed RNA polymerase II subunit RPB7 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RPB7 PE=4 SV=1	RPB7	KLMA_10300	3.38415081159664e-05	3.55269835951495e-05	3.22903350445422e-05
W0T2W9	Probable phosphoglycerate mutase YOR283W OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10305 PE=4 SV=1		KLMA_10305	8.65522012564469e-06	8.75405089676519e-06	8.64957711721106e-06
W0T2X0	Protein MPA43 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MPA43 PE=4 SV=1	MPA43	KLMA_10133	1.18447357938867e-06	1.20682645872152e-06	1.28375813433225e-06
W0T2X5	Vacuolar protein sorting-associated protein 75 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=VPS75 PE=3 SV=2	VPS75	KLMA_10138	1.99577377887664e-05	2.04519582855348e-05	1.76120278695461e-05
W0T2X7	Transport protein particle 130 kDa subunit OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=TRS130 PE=4 SV=1	TRS130	KLMA_10315	6.99139922930832e-06	7.04011191136417e-06	6.83423566048134e-06
W0T2Y2	1,3-beta-glucanosyltransferase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GAS3 PE=3 SV=1	GAS3	KLMA_10320	0.000118494377371235	0.000126220615660253	0.000125884868122068
W0T2Y7	Anaphase-promoting complex subunit CDC23 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=CDC23 PE=4 SV=1	CDC23	KLMA_10325	3.11498849920218e-06	3.22547449057444e-06	3.06236095614104e-06
W0T2Z0	Aconitate hydratase, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=ACO2a PE=3 SV=1	ACO2a	KLMA_10153	5.62343737005063e-05	6.12426353264573e-05	5.46344803861807e-05
W0T2Z1	HSF_DNA-bind super family OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MGA1 PE=3 SV=1	MGA1	KLMA_10330	4.16085506141645e-05	4.83760013092624e-05	4.6201172065583e-05
W0T2Z6	Exosome complex component RRP43 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=RRP43 PE=4 SV=1	RRP43	KLMA_10158	1.66818245672505e-05	1.6362464966119e-05	1.57388912414731e-05
W0T302	Ubiquinone biosynthesis O-methyltransferase, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=COQ3 PE=3 SV=1	COQ3	KLMA_10163	8.30944615171356e-06	8.57914191559862e-06	7.72467809210053e-06
