Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
A0A1L7LMC3	ATP synthase subunit 9, mitochondrial OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_90012 PE=3 SV=1		KLMA_90012	1.85745005925184e-05	1.79280917010577e-05	1.74878974535893e-05
A0A1L7LMG8	GTP-binding protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_40632 PE=4 SV=1		KLMA_40632	0.000129887503758297	0.000127872833261693	0.000128375397483337
W0T257	Saccharolysin OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=PRD1 PE=3 SV=1	PRD1	KLMA_10025	0.000176840669683954	0.000168853265111688	0.00016993082070821
W0T261	CMAS OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10030 PE=4 SV=1		KLMA_10030	0.000113028931049494	0.000109486419621771	0.000113463295598393
W0T264	5',5'''-P-1,P-4-tetraphosphate phosphorylase 2 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=APA2 PE=4 SV=1	APA2	KLMA_10035	7.99609840864553e-05	7.47831978248059e-05	8.03700774484533e-05
W0T280	GRASP65 homolog protein 1 OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GRH1 PE=4 SV=1	GRH1	KLMA_10050	3.12078582187454e-05	3.03500972533336e-05	3.11938283439362e-05
W0T285	Ribonuclease H-like domain OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=KLMA_10055 PE=4 SV=1		KLMA_10055	9.60108598086485e-06	9.02183694129928e-06	9.78536928708748e-06
W0T289	Peptide-methionine (R)-S-oxide reductase OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=MXR2 PE=3 SV=1	MXR2	KLMA_10060	2.75426423807058e-05	2.45698859392339e-05	2.65507227043316e-05
W0T294	Histidine biosynthesis trifunctional protein OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=HIS4 PE=3 SV=1	HIS4	KLMA_10065	0.000291019190072085	0.000271550244987868	0.000279747636911358
W0T2A3	Putative multicopper oxidase YDR506C OS=Kluyveromyces marxianus (strain DMKU3-1042 / BCC 29191 / NBRC 104275) OX=1003335 GN=GMC1 PE=3 SV=1	GMC1	KLMA_10075	7.43201398406181e-06	7.16726323094645e-06	8.73846371532921e-06
