Accession	Description	PrimaryGeneName	Rxn	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW	organism
O00091	Glucose-6-phosphate 1-dehydrogenase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=zwf1 PE=3 SV=2	zwf1	ZWF	0.00020190857513251	0.000231112701835802	0.000188549773209021	Spo
O14105	Ribulose-phosphate 3-epimerase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC31G5.05c PE=3 SV=1	SPAC31G5.05c	RPE	3.42935705692893e-05	4.32188892617617e-05	3.34968461797162e-05	Spo
O14137	Probable glucose-6-phosphate 1-dehydrogenase C7.13c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC3C7.13c PE=3 SV=1	SPAC3C7.13c	ZWF	3.04712703256842e-06	3.71611145720972e-06	2.88576972875258e-06	Spo
O42700	Transaldolase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=tal1 PE=1 SV=2	tal1	TAL	0.00120887417319696	0.00145328093604814	0.00116310877513694	Spo
O59812	Probable glucose-6-phosphate 1-dehydrogenase C794.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC794.01c PE=3 SV=1	SPCC794.01c	ZWF	1.94535671640682e-06	2.37539761424424e-06	1.81035589454961e-06	Spo
O74455	Probable 6-phosphogluconolactonase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC16C4.10 PE=3 SV=1	SPCC16C4.10	PGL	8.5407768899693e-05	9.85316669814112e-05	7.78635782663913e-05	Spo
P78812	6-phosphogluconate dehydrogenase, decarboxylating OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC660.16 PE=1 SV=2	SPBC660.16	GND	0.00107840312591183	0.00123198499810695	0.00100457722058834	Spo
Q9URM2	Probable transketolase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC2G5.05 PE=2 SV=1	SPBC2G5.05	TKL	0.00212534398189427	0.00249505328043451	0.00201089273300968	Spo
Q9UTL3	Ribose-5-phosphate isomerase OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=rki1 PE=3 SV=1	rki1	RKI	2.92346792897846e-05	3.43444086143461e-05	2.71756710759391e-05	Spo
P11412	Glucose-6-phosphate 1-dehydrogenase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ZWF1 PE=1 SV=4	ZWF1_Sce	ZWF	0.000245985717657307	0.000204883018453345	0.000218530119705893	Sce
P15019	Transaldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TAL1 PE=1 SV=4	TAL1_Sce	TAL	0.00089522567695278	0.000786347346184054	0.000819226849519863	Sce
P23254	Transketolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL1 PE=1 SV=4	TKL1_Sce	TKL	0.00115147094429838	0.000982596899563531	0.00105334131686491	Sce
P33315	Transketolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TKL2 PE=1 SV=1	TKL2_Sce	TKL	0.000314206709924096	0.000274682819036781	0.000272911365491478	Sce
P37262	6-phosphogluconolactonase-like protein 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOL2 PE=1 SV=2	SOL2_Sce	PGL	1.82336908075471e-05	1.56793173364433e-05	1.71490633200951e-05	Sce
P38720	6-phosphogluconate dehydrogenase, decarboxylating 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GND1 PE=1 SV=1	GND1_Sce	GND	0.00190194103500627	0.0016610981092052	0.00171537060527246	Sce
P38858	6-phosphogluconolactonase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOL3 PE=1 SV=2	SOL3_Sce	PGL	5.56466149198427e-05	4.79628943493767e-05	4.91695829117943e-05	Sce
P46969	Ribulose-phosphate 3-epimerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPE1 PE=1 SV=1	RPE1_Sce	RPE	1.89313134364323e-05	1.57409981747258e-05	1.64020363781236e-05	Sce
P50278	6-phosphogluconolactonase-like protein 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOL1 PE=1 SV=1	SOL1_Sce	PGL	9.13359879810329e-06	7.55151231476351e-06	8.2463463881201e-06	Sce
P53228	Transaldolase NQM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=NQM1 PE=1 SV=1	NQM1	TAL	4.41539955076137e-06	3.71167429138578e-06	4.28693090943332e-06	Sce
P53315	6-phosphogluconolactonase 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SOL4 PE=1 SV=1	SOL4_Sce	PGL	2.5690719827945e-06	2.12037937249336e-06	2.27285229828566e-06	Sce
