Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
A3GET1	Mannose-1-phosphate guanyltransferase (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (CASRB1) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=MPG1 PE=4 SV=1	MPG1	PICST_74665	0.00329267373353217	0.00325400676033131	0.00328372080951328
A3GET2	Chalcone_isomerase domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51763 PE=4 SV=2		PICST_51763	3.43324896438015e-05	3.27901631572052e-05	3.3014982663464e-05
A3GET3	PfkB domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51621 PE=4 SV=2		PICST_51621	2.28468838817854e-06	2.24824477384669e-06	2.19928092490886e-06
A3GET4	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38766 PE=3 SV=2		PICST_38766	1.42102873673957e-05	1.40949907350432e-05	1.4159361816633e-05
A3GET5	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_27997 PE=4 SV=2		PICST_27997	6.7042291067309e-06	6.33708515392723e-06	6.8488356349236e-06
A3GET6	zf-Tim10_DDP domain-containing protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38239 PE=3 SV=1		PICST_38239	2.51685305943237e-05	2.51189292833229e-05	2.71063259754076e-05
A3GET7	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37943 PE=4 SV=2		PICST_37943	1.17545485555526e-05	1.18015866601975e-05	1.17462557765653e-05
A3GEU3	Fructose-1,6-bisphosphatase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=FBP1 PE=3 SV=1	FBP1	PICST_51462	1.71965135297929e-05	1.7441016608437e-05	1.64250061840803e-05
A3GEU5	Protein transport protein SEC61 alpha subunit OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SEC61 PE=3 SV=1	SEC61	PICST_68832	0.000175011181617505	0.000179593815515346	0.000176944399508678
A3GEU6	Fcf2 domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37870 PE=4 SV=2		PICST_37870	1.32331333981984e-05	1.30086034027439e-05	1.28957847090511e-05
A3GEU7	Transcription factor OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=STD1 PE=4 SV=2	STD1	PICST_64745	5.2168351645059e-06	4.58535313615679e-06	8.06859736971566e-06
A3GEU8	Nuclear pore protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=NUP159 PE=4 SV=2	NUP159	PICST_80670	0.000113148559274422	0.000113038032712642	0.000112286152697016
A3GEV0	Part of small (Ribosomal) subunit (SSU) processosome (Contains U3 snoRNA) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=UTP9 PE=4 SV=2	UTP9	PICST_52144	4.22981383889616e-05	4.25073053335315e-05	4.25134917996398e-05
A3GEV1	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=EFG1 PE=4 SV=2	EFG1	PICST_66227	1.52457340118996e-05	1.51633066800838e-05	1.60235875771366e-05
A3GEV2	mRNA cap guanine-N7 methyltransferase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=ABD1 PE=3 SV=1	ABD1	PICST_66228	1.62980811262457e-05	1.54502471542738e-05	1.59471163080576e-05
A3GEV5	Regulator of histone transcription (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=HIR3 PE=4 SV=2	HIR3	PICST_38196	1.35104826401999e-05	1.33471637628665e-05	1.3800649415649e-05
A3GEV9	Fumarase converts fumaric acid to L-malic acid in the TCA cycle OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=FUM2 PE=3 SV=2	FUM2	PICST_74587	0.000769049333034458	0.0007613533122769	0.000742482624838612
A3GEW0	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_34006 PE=4 SV=2		PICST_34006	9.9465282879379e-06	9.98787756165029e-06	9.59548137692523e-06
A3GEW1	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38732 PE=4 SV=2		PICST_38732	3.33345837297809e-05	3.26236694956736e-05	3.3306856286665e-05
A3GEW2	TATA-binding protein-interacting protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=TIP120 PE=4 SV=2	TIP120	PICST_80613	7.66945287565928e-05	7.48471033773573e-05	7.55743692982751e-05
A3GEW3	Uncharacterized protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51433 PE=4 SV=2		PICST_51433	8.28956299898949e-06	8.39793129024615e-06	8.49900195528081e-06
