Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
A0ZWU1	Ell1-associated factor 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=eaf1 PE=1 SV=1	eaf1	SPCC1223.10c	2.4200291580106e-06	2.90063976274827e-06	2.28197563285257e-06
A6X970	Putative uncharacterized protein C23C4.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23C4.04c PE=4 SV=2		SPAC23C4.04c	2.76464455862652e-08	3.27653752576201e-08	2.55834681660932e-08
A6X980	Transcription factor tau subunit sfc7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sfc7 PE=1 SV=1	sfc7	SPAC1250.07	2.67377787262748e-07	2.84642353000326e-07	2.32492699900453e-07
A9ZLL8	Protein lsd90 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lsd90 PE=1 SV=1	lsd90	SPBC16E9.16c	2.87168698683765e-05	3.60783057198637e-05	2.80017253191584e-05
B5BP45	Uncharacterized amino-acid permease C460.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.01c PE=3 SV=1		SPBC460.01c	3.61337548155509e-06	4.18217478997494e-06	3.48497338151393e-06
B5BP46	Putative glutathione S-transferase C460.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.02c PE=3 SV=1		SPBC460.02c	0.000192367069461995	0.000217332604676242	0.000176409276854131
B5BP47	Uncharacterized transporter C460.03 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.03 PE=3 SV=1		SPBC460.03	1.28965474754782e-05	1.41663236917331e-05	1.17298320640246e-05
B8Y7Y5	INO80 complex subunit 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=iec5 PE=1 SV=1	iec5	SPAPB1E7.14	2.52726038377988e-06	3.13837544702421e-06	2.30478290462501e-06
C6Y4A3	ATP synthase subunit K, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=atp19 PE=2 SV=1	atp19	SPAC25H1.10c	6.59370878096972e-06	1.06584115830458e-05	6.72453607194604e-06
C6Y4A7	ER membrane protein complex subunit 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=emc5 PE=2 SV=1	emc5	SPAP4C9.02	6.67407293597347e-06	7.44742269348487e-06	6.08813530508833e-06
C6Y4A8	Uncharacterized protein C23D3.16 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23D3.16 PE=2 SV=2		SPAC23D3.16	5.37004837846628e-07	6.11159892328318e-07	4.57541795352833e-07
C6Y4A9	Uncharacterized protein C23D3.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23D3.17 PE=2 SV=2		SPAC23D3.17	2.00474196004297e-06	2.73111137968519e-06	2.11675078530832e-06
