Accession	Description	PrimaryGeneName	GeneName	mass_ratio_repl1	mass_ratio_repl2	mass_ratio_repl3
A0ZWU1	Ell1-associated factor 1 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=eaf1 PE=1 SV=1	eaf1	SPCC1223.10c	7.5380453418592e-06	7.82318324166595e-06	7.6281701178845e-06
A6X970	Putative uncharacterized protein C23C4.04c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23C4.04c PE=4 SV=2		SPAC23C4.04c	8.61147311720108e-08	8.83699995822457e-08	8.5520215276133e-08
A6X980	Transcription factor tau subunit sfc7 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sfc7 PE=1 SV=1	sfc7	SPAC1250.07	8.32843636251654e-07	7.67695911246378e-07	7.77174760534133e-07
A9ZLL8	Protein lsd90 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=lsd90 PE=1 SV=1	lsd90	SPBC16E9.16c	8.94489499961407e-05	9.73051532700211e-05	9.36039461831596e-05
B5BP45	Uncharacterized amino-acid permease C460.01c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.01c PE=3 SV=1		SPBC460.01c	1.12551487766022e-05	1.12795529285755e-05	1.16495414884235e-05
B5BP46	Putative glutathione S-transferase C460.02c OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.02c PE=3 SV=1		SPBC460.02c	0.000599195958893791	0.000586157858209826	0.000589699537034118
B5BP47	Uncharacterized transporter C460.03 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC460.03 PE=3 SV=1		SPBC460.03	4.01709042644389e-05	3.8207345677485e-05	3.92103899579093e-05
B8Y7Y5	INO80 complex subunit 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=iec5 PE=1 SV=1	iec5	SPAPB1E7.14	7.87205530171292e-06	8.46436931553103e-06	7.70441008578789e-06
C6Y4A3	ATP synthase subunit K, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=atp19 PE=2 SV=1	atp19	SPAC25H1.10c	2.0538461529457e-05	2.87463158817969e-05	2.24787260574439e-05
C6Y4A7	ER membrane protein complex subunit 5 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=emc5 PE=2 SV=1	emc5	SPAP4C9.02	2.07887843994411e-05	2.00861041614045e-05	2.03513706015601e-05
C6Y4A8	Uncharacterized protein C23D3.16 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23D3.16 PE=2 SV=2		SPAC23D3.16	1.67269340664196e-06	1.64833147812578e-06	1.52946709892375e-06
C6Y4A9	Uncharacterized protein C23D3.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC23D3.17 PE=2 SV=2		SPAC23D3.17	6.2444850069304e-06	7.36595596980739e-06	7.07585780279042e-06
C6Y4B8	Uncharacterized protein C22F3.15 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22F3.15 PE=2 SV=1		SPAC22F3.15	1.53308558422859e-05	1.49649184969033e-05	1.46771067633666e-05
C6Y4B9	Uncharacterized protein C222.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC222.17 PE=2 SV=1		SPAC222.17	1.52586575703155e-06	1.54150050057032e-06	1.4711370014367e-06
C6Y4C1	Protein pet117, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=pet117 PE=2 SV=1	pet117	SPBC1604.25	1.41407519643657e-06	1.51095700846303e-06	1.44814014705575e-06
C6Y4C6	Uncharacterized protein C29A10.17 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBC29A10.17 PE=1 SV=2		SPBC29A10.17	1.24732667952898e-05	1.18368923308867e-05	1.14805402252739e-05
C6Y4C7	Uncharacterized membrane protein C757.15 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC757.15 PE=2 SV=1		SPCC757.15	2.95570696793236e-05	2.91428552755273e-05	2.92676566657171e-05
C6Y4C8	Vacuolar ATPase assembly integral membrane protein vma21 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=vma21 PE=3 SV=1	vma21	SPCC1235.16	1.15884544526283e-06	1.27759174077437e-06	1.04882506990649e-06
C6Y4D0	DNA polymerase epsilon subunit C OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=dpb3 PE=1 SV=1	dpb3	SPCC16C4.22	2.79975442377594e-06	2.83075908953968e-06	2.76984943259245e-06
