Accession	Description	PrimaryGeneName	GeneName	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW
A3GET1	Mannose-1-phosphate guanyltransferase (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (CASRB1) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=MPG1 PE=4 SV=1	MPG1	PICST_74665	0.00104223165645998	0.00140903483115958	0.00105857487324899
A3GET2	Chalcone_isomerase domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51763 PE=4 SV=2		PICST_51763	1.08672800427965e-05	1.4198643521934e-05	1.06430580173088e-05
A3GET3	PfkB domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51621 PE=4 SV=2		PICST_51621	7.2317355316946e-07	9.73524466494943e-07	7.08983394562522e-07
A3GET4	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38766 PE=3 SV=2		PICST_38766	4.49798933640642e-06	6.10334715116734e-06	4.56456121266611e-06
A3GET5	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_27997 PE=4 SV=2		PICST_27997	2.12209297752067e-06	2.74405505813964e-06	2.20786288929875e-06
A3GET6	zf-Tim10_DDP domain-containing protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38239 PE=3 SV=1		PICST_38239	7.96660752167702e-06	1.08768816073488e-05	8.73828112930099e-06
A3GET7	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37943 PE=4 SV=2		PICST_37943	3.72067310745996e-06	5.11026801477003e-06	3.78664689878763e-06
A3GEU3	Fructose-1,6-bisphosphatase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=FBP1 PE=3 SV=1	FBP1	PICST_51462	5.44322099057966e-06	7.55222766950191e-06	5.29493822649429e-06
A3GEU5	Protein transport protein SEC61 alpha subunit OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SEC61 PE=3 SV=1	SEC61	PICST_68832	5.5396376464109e-05	7.77668763958575e-05	5.70416628415439e-05
A3GEU6	Fcf2 domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37870 PE=4 SV=2		PICST_37870	4.18869030396312e-06	5.63292477528253e-06	4.1572211694372e-06
A3GEU7	Transcription factor OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=STD1 PE=4 SV=2	STD1	PICST_64745	1.65128743234121e-06	1.98552822961987e-06	2.60107814683852e-06
