Accession	Description	PrimaryGeneName	GeneName	abundance_repl1	abundance_repl2	abundance_repl3
A3GET1	Mannose-1-phosphate guanyltransferase (ATP-mannose-1-phosphate guanylyltransferase) (GDP-mannose pyrophosphorylase) (CASRB1) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=MPG1 PE=4 SV=1	MPG1	PICST_74665	81.4454746022872	80.4863522320935	81.7651820590185
A3GET2	Chalcone_isomerase domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51763 PE=4 SV=2		PICST_51763	1.40017102644056	1.33722627500217	1.35541031430659
A3GET3	PfkB domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51621 PE=4 SV=2		PICST_51621	0.0549964013352638	0.0541173379772576	0.0532932160791268
A3GET4	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38766 PE=3 SV=2		PICST_38766	0.391751789295115	0.38856032868986	0.392948587022086
A3GET5	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_27997 PE=4 SV=2		PICST_27997	0.113688625907666	0.107459112159301	0.116914624098784
A3GET6	zf-Tim10_DDP domain-containing protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38239 PE=3 SV=1		PICST_38239	2.45939135492756	2.45446271493773	2.66639423450063
A3GET7	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37943 PE=4 SV=2		PICST_37943	0.349429064454685	0.35081568772633	0.351508999362153
A3GEU3	Fructose-1,6-bisphosphatase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=FBP1 PE=3 SV=1	FBP1	PICST_51462	0.466262166106562	0.472875813852755	0.448310836509755
A3GEU5	Protein transport protein SEC61 alpha subunit OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=SEC61 PE=3 SV=1	SEC61	PICST_68832	3.31527248009851	3.40196893616803	3.37422607022578
A3GEU6	Fcf2 domain-containing protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_37870 PE=4 SV=2		PICST_37870	0.621920039121944	0.611347398456871	0.610103558378627
A3GEU7	Transcription factor OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=STD1 PE=4 SV=2	STD1	PICST_64745	0.127443269439035	0.112012918430721	0.198422884077277
A3GEU8	Nuclear pore protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=NUP159 PE=4 SV=2	NUP159	PICST_80670	0.856372261806183	0.85550723931951	0.85550723931951
A3GEV0	Part of small (Ribosomal) subunit (SSU) processosome (Contains U3 snoRNA) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=UTP9 PE=4 SV=2	UTP9	PICST_52144	0.662631167037881	0.665885740549854	0.670442143466618
A3GEV1	Nuclear receptor coregulator SMRT/SMRTER, contains Myb-like domains OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=EFG1 PE=4 SV=2	EFG1	PICST_66227	0.280720871612655	0.279193831513221	0.297009299339954
A3GEV2	mRNA cap guanine-N7 methyltransferase OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=ABD1 PE=3 SV=1	ABD1	PICST_66228	0.266311972604785	0.252449887944676	0.262313294337446
A3GEV5	Regulator of histone transcription (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=HIR3 PE=4 SV=2	HIR3	PICST_38196	0.0732237679133255	0.0723362070901337	0.0752947431674398
A3GEV9	Fumarase converts fumaric acid to L-malic acid in the TCA cycle OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=FUM2 PE=3 SV=2	FUM2	PICST_74587	14.4297767032047	14.2848994270681	14.0241203300222
A3GEW0	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_34006 PE=4 SV=2		PICST_34006	0.232071767317995	0.233028764296626	0.225372788467579
A3GEW1	Uncharacterized protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_38732 PE=4 SV=2		PICST_38732	0.540217810528521	0.528679177682281	0.543364710395677
A3GEW2	TATA-binding protein-interacting protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=TIP120 PE=4 SV=2	TIP120	PICST_80613	0.547705995674916	0.534494996784265	0.543302329378032
A3GEW3	Uncharacterized protein (Fragment) OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_51433 PE=4 SV=2		PICST_51433	0.322098776161104	0.326298659902422	0.332436951524349
A3GEW4	M20_dimer domain-containing protein OS=Scheffersomyces stipitis (strain ATCC 58785 / CBS 6054 / NBRC 10063 / NRRL Y-11545) OX=322104 GN=PICST_28027 PE=4 SV=2		PICST_28027	0.588725076516728	0.567573277360438	0.682733072766904
