gene	description	Rxn	abundance_repl1	abundance_repl2	abundance_repl3	organism
TDH2_Sce	Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3	Glyceraldehyde 3-phosphate hydrogenase	0.00287472578740604	0.00229989456155911	0.0026990415211961	Sce
TDH3_Sce	Glyceraldehyde-3-phosphate dehydrogenase 3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH3 PE=1 SV=3	Glyceraldehyde 3-phosphate hydrogenase	0.010528016616548	0.00893738943125843	0.00959602853918444	Sce
TDH1_Sce	Glyceraldehyde-3-phosphate dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH1 PE=1 SV=3	Glyceraldehyde 3-phosphate hydrogenase	4.58555920695965e-5	3.58831392700657e-5	4.15250739957453e-5	Sce
CDC19	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	Pyruvate kinase	0.0098701615211893	0.00841402449179525	0.00920957081645663	Sce
PGK1_Sce	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	Phosphoglycerate kinase	0.0112623082527862	0.00914132770638364	0.0103782740888323	Sce
ENO1	Enolase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO1 PE=1 SV=3	Enolase	0.00413819898710265	0.00334748914296199	0.00379172066070864	Sce
ENO2	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	Enolase	0.0166877361751697	0.0139871486351933	0.0154975779739093	Sce
TPI1_Sce	Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	Triose phosphate isomerase	0.00387914558085968	0.00311311433185374	0.00353820075229519	Sce
GPM1_Sce	Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	Phosphoglycerate mutase	0.00374703097818922	0.00316331287769337	0.00329977966813071	Sce
HXK1_Sce	Hexokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK1 PE=1 SV=2	Glucose phosphorylation	4.01143972584866e-5	3.37133136629571e-5	3.63278540584332e-5	Sce
HXK2_Sce	Hexokinase-2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=HXK2 PE=1 SV=4	Glucose phosphorylation	7.50639568181792e-4	6.347429926225e-4	6.88064903126841e-4	Sce
PGI1_Sce	Glucose-6-phosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGI1 PE=1 SV=3	Glucose-6-phosphate isomerase	0.00151067251229998	0.00124844064240727	0.00136938263527473	Sce
FBA1_Sce	Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3	Fructose-bisphosphate aldolase	0.00615184517175879	0.00494542391876393	0.00547212521997862	Sce
PFK1_Sce	ATP-dependent 6-phosphofructokinase subunit alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK1 PE=1 SV=1	Phosphofructokinase	9.273447499002e-4	7.70355376688168e-4	8.28263281905792e-4	Sce
PFK2_Sce	ATP-dependent 6-phosphofructokinase subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PFK2 PE=1 SV=4	Phosphofructokinase	9.63370009348785e-4	7.94289465193058e-4	8.76580403665315e-4	Sce
GLK1_Sce	Glucokinase-1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GLK1 PE=1 SV=1	Glucose phosphorylation	3.61898086870475e-5	2.88976178262293e-5	3.29534102491853e-5	Sce
