Accession	Description	PrimaryGeneName	Rxn	repl1_g_per_gDW	repl2_g_per_gDW	repl3_g_per_gDW	organism
O13696	Isocitrate dehydrogenase [NAD] subunit 1, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=idh1 PE=1 SV=1	idh1	IDH	6.59930003297979e-05	6.98120138477726e-05	5.71386676187505e-05	Spo
O13750	Succinate--CoA ligase [ADP-forming] subunit alpha, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC16E8.17c PE=3 SV=1	SPAC16E8.17c	succinate-CoA ligase	1.51654719270184e-05	1.8749521872185e-05	1.42979883503604e-05	Spo
O13907	Probable ATP-citrate synthase subunit 2 OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC22A12.16 PE=1 SV=1	acl2	ACL	0.000504796971025151	0.000590576212252951	0.000466798918317076	Spo
O13966	Aconitate hydratase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPAC24C9.06c PE=3 SV=2	aco1	ACO	0.000455324018477463	0.00051705944374854	0.000410513852380669	Spo
O14254	Probable isocitrate dehydrogenase [NADP], mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=idp1 PE=3 SV=2	idp1	IDH	0.000315669480390252	0.00037659591242582	0.000289175776709509	Spo
O74378	2-oxoglutarate dehydrogenase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=kgd1 PE=3 SV=1	kgd1	KGD	9.26864473652393e-05	0.000108031731035509	8.7067335819634e-05	Spo
O94415	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPCC1620.08 PE=3 SV=1	lsc2	succinate-CoA ligase	4.63815286073921e-05	5.48015369291046e-05	4.35059114626841e-05	Spo
O94552	Fumarate hydratase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=fum1 PE=3 SV=3	fum1	FUM	6.06159853411832e-05	7.28136650044007e-05	5.81591170880558e-05	Spo
O94681	Probable dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=kgd2 PE=3 SV=1	kgd2	KGD	2.68550095410139e-05	3.16158052535229e-05	2.45264908840428e-05	Spo
P21911	Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sdh2 PE=3 SV=3	sdh2	SDH	3.58181236193814e-05	4.07859728113788e-05	3.40357404081476e-05	Spo
Q10306	Probable citrate synthase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=cit1 PE=3 SV=3	cit1	CIT	0.000132072085048906	0.00015179797832816	0.000120986683373856	Spo
Q9P7D4	Homocitrate dehydratase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=SPBP4H10.15 PE=3 SV=3	aco2	ACO	0.000167272655492253	0.000188862659591306	0.000151307267607615	Spo
Q9P7X0	Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sdh4 PE=2 SV=2	sdh4	SDH	2.80772988447811e-05	3.0203945785387e-05	2.4464592961408e-05	Spo
Q9USP8	Isocitrate dehydrogenase [NAD] subunit 2, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=idh2 PE=1 SV=2	idh2	IDH	7.91451957070706e-05	9.27396936032221e-05	7.36249807212004e-05	Spo
Q9UTJ7	Probable succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=sdh1 PE=2 SV=1	sdh1	SDH	9.32751351350727e-05	0.000109755077547462	8.57939466339475e-05	Spo
Q9Y7R8	Malate dehydrogenase, mitochondrial OS=Schizosaccharomyces pombe (strain 972 / ATCC 24843) OX=284812 GN=MDH1 PE=3 SV=1	MDH1	MDH	7.64972381833543e-05	9.05948500235047e-05	6.90803726379493e-05	Spo
P00890	Citrate synthase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIT1 PE=1 SV=2	CIT1_Sce	CIT	0.000216021473372926	0.000187891640920906	0.000200810464674424	Sce
P08417	Fumarate hydratase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FUM1 PE=1 SV=2	FUM1_Sce	FUM	0.000103337444087097	9.01966376937852e-05	9.28847958351433e-05	Sce
P08679	Citrate synthase, peroxisomal OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CIT2 PE=1 SV=1	CIT2_Sce	CIT	7.70644223639411e-05	6.43152065480361e-05	6.9019116637913e-05	Sce
P17505	Malate dehydrogenase, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MDH1 PE=1 SV=2	MDH1_Sce	MDH	7.19759019234379e-05	6.04353472930282e-05	6.91076055381871e-05	Sce
